source_project,source_priority,repo_url,commit_sha,branch,module,file,file_stem,suffix,parameter_count,port_count,instance_count,clock_names,reset_names,handshakes
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_EG_pipe_p1,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,8,2,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_EG_pipe_p2,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,8,2,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_IG_pipe_p1,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_ig.v,NV_NVDLA_CDP_RDMA_ig,.v,0,8,2,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_IG_pipe_p2,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_ig.v,NV_NVDLA_CDP_RDMA_ig,.v,0,8,2,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_REG_dual,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_REG_dual.v,NV_NVDLA_CDP_RDMA_REG_dual,.v,0,20,0,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_REG_single,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_REG_single.v,NV_NVDLA_CDP_RDMA_REG_single,.v,0,10,0,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_cq,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_cq.v,NV_NVDLA_CDP_RDMA_cq,.v,0,9,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_cq_flopram_rwsa_32x7,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_cq.v,NV_NVDLA_CDP_RDMA_cq,.v,0,7,33,clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_eg,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,22,16,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_ig,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_ig.v,NV_NVDLA_CDP_RDMA_ig,.v,0,25,13,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_lat_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_reg,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_reg.v,NV_NVDLA_CDP_RDMA_reg,.v,0,23,7,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_ro_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,9,4,nvdla_core_clk,,
